,Sex,Pclass,Age,Fare,Embarked,TicketTitles,Titles,FamilyType,CabinTitles
68,0,1,31.0,28.5375,1,1,1,0,2
69,1,1,60.0,263.0,2,1,2,5,2
70,1,3,24.0,7.75,3,1,3,0,1
71,0,3,21.0,7.8958,2,1,1,0,1
72,1,3,29.0,7.925,2,1,3,0,1
73,0,1,28.5,27.7208,1,2,1,0,4
74,1,1,35.0,211.5,1,1,3,0,2
75,0,1,32.5,211.5,1,1,1,0,2
76,0,3,30.272590361445783,8.05,2,1,1,0,1
77,1,1,55.0,25.7,2,1,2,2,2
78,0,2,30.0,13.0,2,1,1,0,1
79,1,3,24.0,7.75,3,1,3,0,1
80,0,3,6.0,15.2458,1,1,4,2,1
81,0,1,67.0,221.7792,2,2,1,1,2
82,0,1,49.0,26.0,2,1,1,0,1
83,0,3,30.272590361445783,7.8958,2,1,1,0,1
84,0,2,30.272590361445783,10.7083,3,1,1,0,1
85,0,3,30.272590361445783,14.4542,1,1,1,1,1
86,1,3,27.0,7.8792,3,1,3,0,1
87,1,3,18.0,8.05,2,4,3,0,1
88,1,3,30.272590361445783,7.75,3,1,11,0,1
89,0,2,2.0,23.0,2,1,4,2,1
90,1,3,22.0,13.9,2,1,2,1,1
91,0,3,30.272590361445783,7.775,2,1,1,0,1
92,1,1,27.0,52.0,2,11,2,3,3
93,0,3,30.272590361445783,8.05,2,1,1,0,1
94,0,1,25.0,26.0,1,1,1,0,1
95,0,3,25.0,7.7958,2,1,1,0,1
96,1,1,76.0,78.85,2,1,2,1,2
97,0,3,29.0,7.925,2,5,1,0,1
98,1,3,20.0,7.8542,2,1,3,0,1
99,0,3,33.0,8.05,2,4,1,0,1
100,1,1,43.0,55.4417,1,1,2,1,2
101,0,2,27.0,26.0,2,1,1,1,1
102,0,3,30.272590361445783,7.75,3,1,1,0,1
103,0,3,26.0,7.775,2,1,1,0,1
104,1,3,16.0,8.5167,1,1,2,2,1
105,0,3,28.0,22.525,2,3,1,0,1
106,0,3,21.0,7.8208,3,1,1,0,1
107,0,3,30.272590361445783,7.75,3,1,1,0,1
108,0,3,30.272590361445783,8.7125,2,1,1,0,1
109,0,2,18.5,13.0,2,1,1,0,7
110,0,2,41.0,15.0458,1,1,1,0,1
111,1,3,30.272590361445783,7.7792,3,1,3,0,1
112,1,1,36.0,31.6792,1,2,3,0,6
113,1,3,18.5,7.2833,3,1,3,0,1
114,1,1,63.0,221.7792,2,2,2,1,2
115,0,3,18.0,14.4542,1,1,1,1,1
116,0,3,30.272590361445783,6.4375,1,1,1,0,1
117,1,3,1.0,16.7,2,13,3,2,8
118,0,1,36.0,75.2417,1,1,1,0,2
119,1,2,29.0,26.0,2,9,2,1,1
120,1,2,12.0,15.75,2,3,3,0,1
121,0,3,30.272590361445783,7.75,3,1,1,1,1
122,1,1,35.0,57.75,1,1,2,1,2
123,0,3,28.0,7.25,2,1,1,0,1
124,0,3,30.272590361445783,7.75,3,1,1,0,1
125,1,3,17.0,16.1,2,1,3,1,1
126,0,3,22.0,7.7958,2,1,1,0,1
127,1,3,30.272590361445783,23.25,3,1,3,2,1
128,0,2,42.0,13.0,2,1,1,0,1
129,0,3,24.0,8.05,2,1,1,0,1
130,0,3,32.0,8.05,2,5,1,0,1
131,0,1,53.0,28.5,1,1,8,0,2
132,1,3,30.272590361445783,25.4667,2,1,2,4,1
133,0,3,30.272590361445783,6.4375,1,1,1,1,1
134,0,3,43.0,7.8958,2,1,1,0,1
135,0,3,24.0,7.8542,2,1,1,0,1
136,0,3,26.5,7.225,1,1,1,0,1
137,0,2,26.0,13.0,2,1,1,0,1
138,1,3,23.0,8.05,2,6,3,0,1
139,0,3,40.0,46.9,2,8,1,7,1
140,1,3,10.0,46.9,2,8,3,7,1
141,1,1,33.0,151.55,2,1,3,0,1
142,0,1,61.0,262.375,1,2,1,4,3
143,0,2,28.0,26.0,2,1,1,0,1
144,0,1,42.0,26.55,2,1,1,0,1
145,0,3,31.0,18.0,2,1,1,3,1
146,0,1,30.272590361445783,51.8625,2,1,1,0,5
147,0,3,22.0,8.05,2,9,1,0,1
148,0,1,30.272590361445783,26.55,2,1,1,0,1
149,0,2,30.0,26.0,2,1,5,2,1
150,1,1,23.0,83.1583,1,1,2,1,2
151,0,3,30.272590361445783,7.8958,1,1,1,0,1
152,0,3,60.5,0.0,2,1,1,0,1
153,1,3,36.0,12.1833,2,1,2,2,1
154,0,3,13.0,31.3875,2,1,4,6,1
155,0,3,24.0,7.55,2,7,1,0,1
156,1,1,29.0,221.7792,2,2,3,0,2
157,1,3,23.0,7.8542,2,1,3,0,1
158,0,1,42.0,26.55,2,1,1,0,4
159,1,3,26.0,13.775,2,6,2,2,1
160,1,3,30.272590361445783,7.7333,3,1,3,0,1
161,0,3,7.0,15.2458,1,1,4,2,1
162,1,2,26.0,13.5,2,1,3,0,1
163,0,3,30.272590361445783,7.0,2,1,1,0,1
164,0,2,41.0,13.0,2,1,5,0,1
165,1,3,26.0,22.025,2,1,2,2,1
166,0,1,48.0,50.4958,1,2,1,0,3
167,0,3,18.0,34.375,2,10,1,4,1
168,1,1,30.272590361445783,27.7208,1,1,2,0,1
169,1,3,22.0,8.9625,2,1,3,0,1
170,0,3,30.272590361445783,7.55,2,7,1,0,1
171,0,3,27.0,7.225,1,1,1,0,1
172,0,3,23.0,13.9,2,1,1,1,1
173,0,3,30.272590361445783,7.2292,1,1,1,0,1
174,0,3,40.0,31.3875,2,1,1,6,1
175,1,2,15.0,39.0,2,1,3,2,1
176,1,2,20.0,36.75,2,3,3,0,1
177,0,1,54.0,55.4417,1,1,1,1,2
178,1,2,36.0,39.0,2,1,2,3,7
179,1,1,64.0,83.1583,1,2,2,2,5
180,0,2,30.0,13.0,2,1,1,0,1
181,0,1,37.0,83.1583,1,2,1,2,5
182,1,1,18.0,53.1,2,1,2,1,4
183,0,3,30.272590361445783,7.75,3,1,1,0,1
184,1,1,27.0,247.5208,1,2,2,2,3
185,0,2,40.0,16.0,2,1,1,0,1
186,1,2,21.0,21.0,2,7,3,1,1
187,0,3,17.0,8.05,2,4,1,2,1
188,1,3,30.272590361445783,69.55,2,8,3,10,1
189,0,2,40.0,13.0,2,1,1,0,1
190,0,2,34.0,26.0,2,1,1,1,1
191,0,1,30.272590361445783,26.0,2,1,1,0,1
192,0,3,11.5,14.5,2,4,4,2,1
193,0,2,61.0,12.35,3,1,1,0,1
194,0,2,8.0,32.5,2,1,4,2,1
195,0,3,33.0,7.8542,2,1,1,0,1
196,0,1,6.0,134.5,1,1,4,2,5
197,1,3,18.0,7.775,2,1,3,0,1
198,0,2,23.0,10.5,2,3,1,0,1
199,1,3,30.272590361445783,8.1125,2,1,2,0,1
200,1,3,30.272590361445783,15.5,3,1,3,0,1
201,0,3,0.33,14.4,2,1,4,2,1
202,0,1,47.0,227.525,1,2,8,1,2
203,1,2,8.0,26.0,2,1,3,2,1
204,0,2,25.0,10.5,2,3,1,0,1
205,0,1,30.272590361445783,25.7417,1,11,1,0,1
206,1,3,35.0,7.75,3,1,3,0,1
207,0,2,24.0,10.5,2,1,1,0,1
208,1,1,33.0,27.7208,1,2,3,0,6
209,0,3,25.0,7.8958,2,1,1,0,1
210,0,3,32.0,22.525,2,3,1,0,1
211,0,3,30.272590361445783,7.05,2,6,1,0,1
212,0,2,17.0,73.5,2,7,1,0,1
213,1,2,60.0,26.0,2,1,2,1,1
214,1,3,38.0,7.775,2,1,3,6,1
215,0,1,42.0,42.5,2,1,1,0,3
216,1,3,30.272590361445783,7.8792,3,1,3,0,1
217,0,1,57.0,164.8667,2,1,1,2,1
218,1,1,50.0,211.5,1,1,2,2,2
219,0,3,30.272590361445783,8.05,2,1,1,0,1
220,1,2,30.0,13.8583,1,9,3,1,1
221,0,3,21.0,8.05,2,1,1,0,1
222,1,2,22.0,10.5,2,10,2,0,7
223,0,3,21.0,7.7958,2,1,1,0,1
224,1,1,53.0,27.4458,1,2,2,0,1
225,1,3,30.272590361445783,15.2458,1,1,2,2,1
226,0,3,23.0,7.7958,2,1,1,0,1
227,1,3,30.272590361445783,7.75,3,1,3,0,1
228,0,3,40.5,15.1,2,3,1,0,1
229,0,2,36.0,13.0,2,1,1,0,1
230,0,2,14.0,65.0,2,1,1,0,1
231,1,1,21.0,26.55,2,1,3,0,1
232,0,3,21.0,6.4958,2,1,1,1,1
233,0,3,30.272590361445783,7.8792,3,1,1,0,1
234,0,1,39.0,71.2833,1,2,1,1,2
235,0,3,20.0,7.8542,2,1,1,0,1
236,0,1,64.0,75.25,1,1,1,1,4
237,0,3,20.0,7.225,1,1,1,0,1
238,1,2,18.0,13.0,2,1,3,2,1
239,1,1,48.0,106.425,1,2,2,1,2
240,1,1,55.0,27.7208,1,1,2,0,1
241,1,2,45.0,30.0,2,1,2,2,1
242,0,1,45.0,134.5,1,1,1,2,5
243,0,3,30.272590361445783,7.8875,2,1,1,0,1
244,0,3,30.272590361445783,23.45,2,10,4,3,1
245,0,1,41.0,51.8625,2,1,1,1,4
246,1,2,22.0,21.0,2,11,2,0,1
247,0,2,42.0,32.5,2,1,1,2,1
248,1,2,29.0,26.0,2,1,2,1,1
249,1,3,30.272590361445783,14.4542,1,1,2,1,1
250,1,2,0.92,27.75,2,3,3,3,1
251,0,3,20.0,7.925,2,6,1,0,1
252,0,1,27.0,136.7792,1,1,1,1,2
253,0,3,24.0,9.325,2,1,1,0,1
254,0,3,32.5,9.5,2,1,1,0,1
255,0,3,30.272590361445783,7.55,2,3,1,0,1
256,0,3,30.272590361445783,7.75,3,19,1,0,1
257,0,3,28.0,8.05,2,1,1,0,1
258,1,2,19.0,13.0,2,1,3,0,1
259,0,3,21.0,7.775,2,1,1,0,1
260,0,3,36.5,17.4,2,1,1,1,1
261,0,3,21.0,7.8542,2,1,1,0,1
262,1,2,29.0,23.0,2,1,2,2,1
263,1,3,1.0,12.1833,2,1,3,2,1
264,0,2,30.0,12.7375,1,3,1,0,1
265,0,3,30.272590361445783,7.8958,2,1,1,0,1
266,0,1,30.272590361445783,0.0,2,1,1,0,1
267,0,3,30.272590361445783,7.55,2,3,1,0,1
268,1,3,30.272590361445783,8.05,2,4,3,0,1
269,0,3,17.0,8.6625,2,1,1,0,1
270,0,1,46.0,75.2417,1,1,1,0,2
271,0,3,30.272590361445783,7.75,3,1,1,0,1
272,1,1,26.0,136.7792,1,1,2,1,2
273,1,3,30.272590361445783,15.5,3,1,3,1,1
274,0,3,30.272590361445783,7.225,1,1,1,0,1
275,1,2,20.0,26.0,2,1,3,1,1
276,0,2,28.0,10.5,2,9,1,0,1
277,0,2,40.0,26.0,2,1,1,1,1
278,0,2,30.0,21.0,2,8,1,1,1
279,0,2,22.0,10.5,2,10,1,0,1
280,1,3,23.0,8.6625,2,1,3,0,1
281,0,3,0.75,13.775,2,6,4,2,1
282,1,3,30.272590361445783,7.75,3,1,3,0,1
283,1,3,9.0,15.2458,1,1,3,2,1
284,1,3,2.0,20.2125,2,1,3,2,1
285,0,3,36.0,7.25,2,4,1,0,1
286,0,3,30.272590361445783,7.25,2,6,1,0,1
287,0,1,24.0,82.2667,2,1,1,1,3
288,0,3,30.272590361445783,7.2292,1,1,1,0,7
289,0,3,30.272590361445783,8.05,2,4,1,0,1
290,0,1,30.272590361445783,39.6,2,2,1,0,1
291,1,3,30.0,6.95,3,1,3,0,1
292,0,3,30.272590361445783,7.2292,1,1,1,0,1
293,0,1,53.0,81.8583,2,1,6,2,6
294,0,3,36.0,9.5,2,1,1,0,1
295,0,3,26.0,7.8958,2,1,1,0,1
296,1,2,1.0,41.5792,1,9,3,3,1
297,0,3,30.272590361445783,21.6792,1,1,1,2,1
298,0,1,30.0,45.5,2,1,1,0,1
299,0,3,29.0,7.8542,2,1,1,0,1
300,0,3,32.0,7.775,2,1,1,0,1
301,0,2,30.272590361445783,15.0458,1,1,1,0,4
302,0,2,43.0,21.0,2,7,1,1,1
303,0,3,24.0,8.6625,2,1,1,0,1
304,1,3,30.272590361445783,7.75,3,1,3,0,1
305,1,1,64.0,26.55,2,1,2,2,3
306,0,1,30.0,151.55,2,1,1,3,2
307,0,3,0.83,9.35,2,1,4,1,1
308,0,1,55.0,93.5,2,1,1,2,3
309,1,3,45.0,14.1083,2,1,2,1,1
310,0,3,18.0,8.6625,2,1,1,0,1
311,0,3,22.0,7.225,1,1,1,0,1
312,0,3,30.272590361445783,7.575,2,20,1,0,1
313,1,3,37.0,7.75,3,1,3,0,1
314,1,1,55.0,135.6333,1,2,2,0,2
315,1,3,17.0,7.7333,3,19,3,0,1
316,0,1,57.0,146.5208,1,2,1,1,3
317,0,2,19.0,10.5,2,1,1,0,1
318,0,3,27.0,7.8542,2,1,1,0,1
319,0,2,22.0,31.5,2,3,1,2,1
320,0,3,26.0,7.775,2,1,1,0,1
321,0,3,25.0,7.2292,1,1,1,0,7
322,0,2,26.0,13.0,2,1,1,0,7
323,0,1,33.0,26.55,2,1,1,0,1
324,1,1,39.0,211.3375,2,1,3,0,1
325,0,3,23.0,7.05,2,6,1,0,1
326,1,2,12.0,39.0,2,1,3,3,7
327,0,1,46.0,79.2,1,2,1,0,1
328,0,2,29.0,26.0,2,1,1,1,1
329,0,2,21.0,13.0,2,1,1,0,1
330,1,2,48.0,36.75,2,3,2,2,1
331,0,1,39.0,29.7,1,2,1,0,6
332,0,3,30.272590361445783,7.225,1,1,1,0,1
333,1,3,19.0,15.7417,1,1,2,2,1
334,0,3,27.0,7.8958,2,1,1,0,1
335,0,1,30.0,26.0,2,1,1,0,2
336,0,2,32.0,13.0,2,1,1,0,1
337,0,3,39.0,7.2292,1,1,1,2,1
338,0,2,25.0,31.5,2,3,1,0,1
339,0,3,30.272590361445783,7.2292,1,1,4,0,1
340,0,2,18.0,10.5,2,3,1,0,1
341,0,3,32.0,7.5792,2,1,1,0,1
342,0,3,30.272590361445783,69.55,2,8,1,10,1
343,1,1,58.0,512.3292,1,2,2,1,3
344,0,3,30.272590361445783,14.5,2,4,4,2,1
345,1,3,16.0,7.65,2,1,3,0,1
346,0,2,26.0,13.0,2,1,1,0,1
347,1,3,38.0,7.2292,1,1,2,0,1
348,0,2,24.0,13.5,2,1,1,0,1
349,1,2,31.0,21.0,2,11,3,0,1
350,1,1,45.0,63.3583,1,2,2,1,4
351,0,2,25.0,10.5,2,11,1,0,1
352,0,2,18.0,73.5,2,7,1,0,1
353,0,2,49.0,65.0,2,1,1,3,1
354,1,3,0.17,20.575,2,3,3,3,1
355,0,1,50.0,26.0,2,1,1,0,5
356,1,1,59.0,51.4792,2,1,2,2,2
357,0,3,30.272590361445783,7.8792,2,1,1,0,1
358,0,3,30.272590361445783,7.75,3,1,1,0,1
359,1,3,30.0,15.55,2,1,2,1,1
360,0,3,14.5,69.55,2,8,4,10,1
361,1,2,24.0,37.0042,1,7,2,2,1
362,1,2,31.0,21.0,2,8,2,0,1
363,0,3,27.0,8.6625,2,1,1,0,1
364,1,1,25.0,55.4417,1,1,2,1,5
365,1,3,30.272590361445783,69.55,2,8,2,10,1
366,0,3,30.272590361445783,14.4583,1,1,1,1,1
367,1,3,22.0,39.6875,2,1,3,0,1
368,1,1,45.0,59.4,1,1,2,1,1
369,0,2,29.0,13.8583,1,9,1,0,1
370,0,2,21.0,11.5,2,1,1,1,1
371,1,1,31.0,134.5,1,1,3,0,5
372,0,1,49.0,0.0,2,1,1,0,3
373,0,2,44.0,13.0,2,1,1,0,1
374,1,1,54.0,81.8583,2,1,2,2,6
375,1,1,45.0,262.375,1,2,3,0,1
376,1,3,22.0,8.6625,2,1,3,2,1
377,0,2,21.0,11.5,2,1,1,0,1
378,0,1,55.0,50.0,2,1,1,0,2
379,0,3,5.0,31.3875,2,1,4,6,1
380,0,3,30.272590361445783,7.75,3,1,1,0,1
381,0,3,26.0,7.8792,3,1,1,0,1
382,1,3,30.272590361445783,14.5,2,1,2,0,1
383,1,3,19.0,16.1,2,1,2,1,1
384,0,2,30.272590361445783,12.875,2,9,1,0,1
385,1,2,24.0,65.0,2,1,3,3,1
386,0,3,24.0,7.775,2,1,1,0,1
387,0,2,57.0,13.0,2,1,1,0,1
388,0,3,21.0,7.75,3,1,1,0,1
389,0,3,6.0,21.075,2,1,4,4,1
390,0,1,23.0,93.5,2,1,1,0,3
391,1,1,51.0,39.4,2,2,2,1,4
392,0,3,13.0,20.25,2,3,4,2,1
393,0,2,47.0,10.5,2,3,1,0,1
394,0,3,29.0,22.025,2,1,1,4,1
395,1,1,18.0,60.0,2,1,2,1,2
396,0,3,24.0,7.25,3,1,1,0,1
397,1,1,48.0,79.2,1,1,2,2,3
398,0,3,22.0,7.775,2,1,1,0,1
399,0,3,31.0,7.7333,3,1,1,0,1
400,1,1,30.0,164.8667,2,1,3,0,2
401,0,2,38.0,21.0,2,1,1,1,1
402,1,1,22.0,59.4,1,1,3,1,1
403,0,1,17.0,47.1,2,1,1,0,1
404,0,1,43.0,27.7208,1,1,1,1,4
405,0,2,20.0,13.8625,1,9,1,0,4
406,0,2,23.0,10.5,2,1,1,1,1
407,0,1,50.0,211.5,1,1,1,2,2
408,1,3,30.272590361445783,7.7208,3,1,3,0,1
409,1,3,3.0,13.775,2,6,3,2,1
410,1,3,30.272590361445783,7.75,3,1,3,0,1
411,1,1,37.0,90.0,3,1,2,1,2
412,1,3,28.0,7.775,2,1,3,0,1
413,0,3,30.272590361445783,8.05,2,4,1,0,1
414,1,1,39.0,108.9,1,2,17,0,2
415,0,3,38.5,7.25,2,6,1,0,1
416,0,3,30.272590361445783,8.05,2,1,1,0,1
417,0,3,30.272590361445783,22.3583,1,1,4,2,1
