,Sex,Survived,Pclass,Age,Fare,Embarked,Titles,TicketTitles,CabinTitles,FamilyType
458,1,1,2,50.0,10.5,2,3.0,11,1,0
460,0,1,1,48.0,26.55,2,1.0,1,5,0
461,0,0,3,34.0,8.05,2,1.0,1,1,0
462,0,0,1,47.0,38.5,2,1.0,1,5,0
463,0,0,2,48.0,13.0,2,1.0,1,1,0
465,0,0,3,38.0,7.05,2,1.0,6,1,0
467,0,0,1,56.0,26.55,2,1.0,1,1,0
469,1,1,3,0.75,19.2583,1,3.0,1,1,3
471,0,0,3,38.0,8.6625,2,1.0,1,1,0
472,1,1,2,33.0,27.75,2,2.0,3,1,3
473,1,1,2,23.0,13.7917,1,2.0,9,4,0
474,1,0,3,22.0,9.8375,2,3.0,1,1,0
476,0,0,2,34.0,21.0,2,1.0,1,1,1
477,0,0,3,29.0,7.0458,2,1.0,1,1,1
478,0,0,3,22.0,7.5208,2,1.0,1,1,0
479,1,1,3,2.0,12.2875,2,3.0,1,1,1
480,0,0,3,9.0,46.9,2,4.0,8,1,7
482,0,0,3,50.0,8.05,2,1.0,4,1,0
483,1,1,3,63.0,9.5875,2,2.0,1,1,0
484,0,1,1,25.0,91.0792,1,1.0,1,3,1
486,1,1,1,35.0,90.0,2,2.0,1,2,1
487,0,0,1,58.0,29.7,1,1.0,1,3,0
488,0,0,3,30.0,8.05,2,1.0,4,1,0
489,0,1,3,9.0,15.9,2,4.0,3,1,2
491,0,0,3,21.0,7.25,2,1.0,6,1,0
492,0,0,1,55.0,30.5,2,1.0,1,2,0
493,0,0,1,71.0,49.5042,1,1.0,2,1,0
494,0,0,3,21.0,8.05,2,1.0,4,1,0
496,1,1,1,54.0,78.2667,1,3.0,1,4,1
498,1,0,1,25.0,151.55,2,2.0,1,2,3
499,0,0,3,24.0,7.7958,2,1.0,1,1,0
500,0,0,3,17.0,8.6625,2,1.0,1,1,0
501,1,0,3,21.0,7.75,3,3.0,1,1,0
503,1,0,3,37.0,9.5875,2,3.0,1,1,0
504,1,1,1,16.0,86.5,2,3.0,1,3,0
505,0,0,1,18.0,108.9,1,1.0,2,2,1
506,1,1,2,33.0,26.0,2,2.0,1,1,2
508,0,0,3,28.0,22.525,2,1.0,3,1,0
509,0,1,3,26.0,56.4958,2,1.0,1,1,0
510,0,1,3,29.0,7.75,3,1.0,1,1,0
512,0,1,1,36.0,26.2875,2,1.0,2,5,0
513,1,1,1,54.0,59.4,1,2.0,2,1,1
514,0,0,3,24.0,7.4958,2,1.0,1,1,0
515,0,0,1,47.0,34.0208,2,1.0,1,4,0
516,1,1,2,34.0,10.5,2,2.0,3,7,0
518,1,1,2,36.0,26.0,2,2.0,1,1,1
519,0,0,3,32.0,7.8958,2,1.0,1,1,0
520,1,1,1,30.0,93.5,2,3.0,1,3,0
521,0,0,3,22.0,7.8958,2,1.0,1,1,0
523,1,1,1,44.0,57.9792,1,2.0,1,3,1
525,0,0,3,40.5,7.75,3,1.0,1,1,0
526,1,1,2,50.0,10.5,2,3.0,10,1,0
528,0,0,3,39.0,7.925,2,1.0,1,1,0
529,0,0,2,23.0,11.5,2,1.0,1,1,3
530,1,1,2,2.0,26.0,2,3.0,1,1,2
532,0,0,3,17.0,7.2292,1,1.0,1,1,2
534,1,0,3,30.0,8.6625,2,3.0,1,1,0
535,1,1,2,7.0,26.25,2,3.0,11,1,2
536,0,0,1,45.0,26.55,2,7.0,1,3,0
537,1,1,1,30.0,106.425,1,3.0,2,1,0
539,1,1,1,22.0,49.5,1,3.0,1,3,2
540,1,1,1,36.0,71.0,2,3.0,15,3,2
541,1,0,3,9.0,31.275,2,3.0,1,1,6
542,1,0,3,11.0,31.275,2,3.0,1,1,6
543,0,1,2,32.0,26.0,2,1.0,1,1,1
544,0,0,1,50.0,106.425,1,1.0,2,2,1
545,0,0,1,64.0,26.0,2,1.0,1,1,0
546,1,1,2,19.0,26.0,2,2.0,1,1,1
548,0,0,3,33.0,20.525,2,1.0,1,1,2
549,0,1,2,8.0,36.75,2,4.0,3,1,2
550,0,1,1,17.0,110.8833,1,1.0,1,2,2
551,0,0,2,27.0,26.0,2,1.0,1,1,0
553,0,1,3,22.0,7.225,1,1.0,1,1,0
554,1,1,3,22.0,7.775,2,3.0,1,1,0
555,0,0,1,62.0,26.55,2,1.0,1,1,0
556,1,1,1,48.0,39.6,1,12.0,1,6,1
558,1,1,1,39.0,79.65,2,2.0,1,5,2
559,1,1,3,36.0,17.4,2,2.0,1,1,1
561,0,0,3,40.0,7.8958,2,1.0,1,1,0
562,0,0,2,28.0,13.5,2,1.0,1,1,0
565,0,0,3,24.0,24.15,2,1.0,4,1,2
566,0,0,3,19.0,7.8958,2,1.0,1,1,0
567,1,0,3,29.0,21.075,2,2.0,1,1,4
569,0,1,3,32.0,7.8542,2,1.0,1,1,0
570,0,1,2,62.0,10.5,2,1.0,7,1,0
571,1,1,1,53.0,51.4792,2,2.0,1,2,2
572,0,1,1,36.0,26.3875,2,1.0,2,5,0
574,0,0,3,16.0,8.05,2,1.0,4,1,0
575,0,0,3,19.0,14.5,2,1.0,1,1,0
576,1,1,2,34.0,13.0,2,3.0,1,1,0
577,1,1,1,39.0,55.9,2,2.0,1,5,1
579,0,1,3,32.0,7.925,2,1.0,5,1,0
580,1,1,2,25.0,30.0,2,3.0,1,1,2
581,1,1,1,39.0,110.8833,1,2.0,1,2,2
582,0,0,2,54.0,26.0,2,1.0,1,1,0
583,0,0,1,36.0,40.125,1,1.0,1,6,0
585,1,1,1,18.0,79.65,2,3.0,1,5,2
586,0,0,2,47.0,15.0,2,1.0,1,1,0
587,0,1,1,60.0,79.2,1,1.0,1,3,2
588,0,0,3,22.0,8.05,2,1.0,1,1,0
590,0,0,3,35.0,7.125,2,1.0,5,1,0
591,1,1,1,52.0,78.2667,1,2.0,1,4,1
592,0,0,3,47.0,7.25,2,1.0,4,1,0
594,0,0,2,37.0,26.0,2,1.0,9,1,1
595,0,0,3,36.0,24.15,2,1.0,1,1,2
597,0,0,3,49.0,0.0,2,1.0,12,1,0
599,0,1,1,49.0,56.9292,1,13.0,2,6,1
600,1,1,2,24.0,27.0,2,2.0,1,1,3
603,0,0,3,44.0,8.05,2,1.0,1,1,0
604,0,1,1,35.0,26.55,1,1.0,1,1,0
605,0,0,3,36.0,15.55,2,1.0,1,1,1
606,0,0,3,30.0,7.8958,2,1.0,1,1,0
607,0,1,1,27.0,30.5,2,1.0,1,1,0
608,1,1,2,22.0,41.5792,1,2.0,9,1,3
609,1,1,1,40.0,153.4625,2,3.0,2,2,0
610,1,0,3,39.0,31.275,2,2.0,1,1,6
614,0,0,3,35.0,8.05,2,1.0,1,1,0
615,1,1,2,24.0,65.0,2,3.0,1,1,3
616,0,0,3,34.0,14.4,2,1.0,1,1,2
617,1,0,3,26.0,16.1,2,2.0,4,1,1
618,1,1,2,4.0,39.0,2,3.0,1,7,3
619,0,0,2,26.0,10.5,2,1.0,1,1,0
620,0,0,3,27.0,14.4542,1,1.0,1,1,1
621,0,1,1,42.0,52.5542,2,1.0,1,4,1
622,0,1,3,20.0,15.7417,1,1.0,1,1,2
