,Sex,Pclass,Age,Fare,Embarked,TicketTitles,Titles,FamilyType,CabinTitles,Prediction
67,0.0,1.0,47.0,42.4,2.0,1.0,1.0,0.0,1.0,0.0
68,0.0,1.0,31.0,28.5375,1.0,1.0,1.0,0.0,2.0,0.0
69,1.0,1.0,60.0,263.0,2.0,1.0,2.0,5.0,2.0,1.0
70,1.0,3.0,24.0,7.75,3.0,1.0,3.0,0.0,1.0,0.0
71,0.0,3.0,21.0,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
72,1.0,3.0,29.0,7.925,2.0,1.0,3.0,0.0,1.0,1.0
73,0.0,1.0,28.5,27.7208,1.0,2.0,1.0,0.0,4.0,0.0
74,1.0,1.0,35.0,211.5,1.0,1.0,3.0,0.0,2.0,1.0
75,0.0,1.0,32.5,211.5,1.0,1.0,1.0,0.0,2.0,0.0
76,0.0,3.0,30.272590361445783,8.05,2.0,1.0,1.0,0.0,1.0,0.0
77,1.0,1.0,55.0,25.7,2.0,1.0,2.0,2.0,2.0,1.0
78,0.0,2.0,30.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
79,1.0,3.0,24.0,7.75,3.0,1.0,3.0,0.0,1.0,0.0
80,0.0,3.0,6.0,15.2458,1.0,1.0,4.0,2.0,1.0,0.0
81,0.0,1.0,67.0,221.7792,2.0,2.0,1.0,1.0,2.0,1.0
82,0.0,1.0,49.0,26.0,2.0,1.0,1.0,0.0,1.0,0.0
83,0.0,3.0,30.272590361445783,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
84,0.0,2.0,30.272590361445783,10.7083,3.0,1.0,1.0,0.0,1.0,0.0
85,0.0,3.0,30.272590361445783,14.4542,1.0,1.0,1.0,1.0,1.0,0.0
86,1.0,3.0,27.0,7.8792,3.0,1.0,3.0,0.0,1.0,0.0
87,1.0,3.0,18.0,8.05,2.0,4.0,3.0,0.0,1.0,0.0
88,1.0,3.0,30.272590361445783,7.75,3.0,1.0,11.0,0.0,1.0,0.0
89,0.0,2.0,2.0,23.0,2.0,1.0,4.0,2.0,1.0,0.0
90,1.0,3.0,22.0,13.9,2.0,1.0,2.0,1.0,1.0,1.0
91,0.0,3.0,30.272590361445783,7.775,2.0,1.0,1.0,0.0,1.0,0.0
92,1.0,1.0,27.0,52.0,2.0,11.0,2.0,3.0,3.0,1.0
93,0.0,3.0,30.272590361445783,8.05,2.0,1.0,1.0,0.0,1.0,0.0
94,0.0,1.0,25.0,26.0,1.0,1.0,1.0,0.0,1.0,0.0
95,0.0,3.0,25.0,7.7958,2.0,1.0,1.0,0.0,1.0,0.0
96,1.0,1.0,76.0,78.85,2.0,1.0,2.0,1.0,2.0,1.0
97,0.0,3.0,29.0,7.925,2.0,5.0,1.0,0.0,1.0,0.0
98,1.0,3.0,20.0,7.8542,2.0,1.0,3.0,0.0,1.0,1.0
99,0.0,3.0,33.0,8.05,2.0,4.0,1.0,0.0,1.0,0.0
100,1.0,1.0,43.0,55.4417,1.0,1.0,2.0,1.0,2.0,1.0
101,0.0,2.0,27.0,26.0,2.0,1.0,1.0,1.0,1.0,0.0
102,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
103,0.0,3.0,26.0,7.775,2.0,1.0,1.0,0.0,1.0,0.0
104,1.0,3.0,16.0,8.5167,1.0,1.0,2.0,2.0,1.0,1.0
105,0.0,3.0,28.0,22.525,2.0,3.0,1.0,0.0,1.0,0.0
106,0.0,3.0,21.0,7.8208,3.0,1.0,1.0,0.0,1.0,0.0
107,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
108,0.0,3.0,30.272590361445783,8.7125,2.0,1.0,1.0,0.0,1.0,0.0
109,0.0,2.0,18.5,13.0,2.0,1.0,1.0,0.0,7.0,0.0
110,0.0,2.0,41.0,15.0458,1.0,1.0,1.0,0.0,1.0,0.0
111,1.0,3.0,30.272590361445783,7.7792,3.0,1.0,3.0,0.0,1.0,1.0
112,1.0,1.0,36.0,31.6792,1.0,2.0,3.0,0.0,6.0,1.0
113,1.0,3.0,18.5,7.2833,3.0,1.0,3.0,0.0,1.0,0.0
114,1.0,1.0,63.0,221.7792,2.0,2.0,2.0,1.0,2.0,1.0
115,0.0,3.0,18.0,14.4542,1.0,1.0,1.0,1.0,1.0,0.0
116,0.0,3.0,30.272590361445783,6.4375,1.0,1.0,1.0,0.0,1.0,0.0
117,1.0,3.0,1.0,16.7,2.0,13.0,3.0,2.0,8.0,1.0
118,0.0,1.0,36.0,75.2417,1.0,1.0,1.0,0.0,2.0,0.0
119,1.0,2.0,29.0,26.0,2.0,9.0,2.0,1.0,1.0,1.0
120,1.0,2.0,12.0,15.75,2.0,3.0,3.0,0.0,1.0,1.0
121,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,1.0,1.0,0.0
122,1.0,1.0,35.0,57.75,1.0,1.0,2.0,1.0,2.0,1.0
123,0.0,3.0,28.0,7.25,2.0,1.0,1.0,0.0,1.0,0.0
124,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
125,1.0,3.0,17.0,16.1,2.0,1.0,3.0,1.0,1.0,1.0
126,0.0,3.0,22.0,7.7958,2.0,1.0,1.0,0.0,1.0,0.0
127,1.0,3.0,30.272590361445783,23.25,3.0,1.0,3.0,2.0,1.0,0.0
128,0.0,2.0,42.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
129,0.0,3.0,24.0,8.05,2.0,1.0,1.0,0.0,1.0,0.0
130,0.0,3.0,32.0,8.05,2.0,5.0,1.0,0.0,1.0,0.0
131,0.0,1.0,53.0,28.5,1.0,1.0,8.0,0.0,2.0,0.0
132,1.0,3.0,30.272590361445783,25.4667,2.0,1.0,2.0,4.0,1.0,0.0
133,0.0,3.0,30.272590361445783,6.4375,1.0,1.0,1.0,1.0,1.0,0.0
134,0.0,3.0,43.0,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
135,0.0,3.0,24.0,7.8542,2.0,1.0,1.0,0.0,1.0,0.0
136,0.0,3.0,26.5,7.225,1.0,1.0,1.0,0.0,1.0,0.0
137,0.0,2.0,26.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
138,1.0,3.0,23.0,8.05,2.0,6.0,3.0,0.0,1.0,0.0
139,0.0,3.0,40.0,46.9,2.0,8.0,1.0,7.0,1.0,0.0
140,1.0,3.0,10.0,46.9,2.0,8.0,3.0,7.0,1.0,1.0
141,1.0,1.0,33.0,151.55,2.0,1.0,3.0,0.0,1.0,1.0
142,0.0,1.0,61.0,262.375,1.0,2.0,1.0,4.0,3.0,1.0
143,0.0,2.0,28.0,26.0,2.0,1.0,1.0,0.0,1.0,0.0
144,0.0,1.0,42.0,26.55,2.0,1.0,1.0,0.0,1.0,0.0
145,0.0,3.0,31.0,18.0,2.0,1.0,1.0,3.0,1.0,0.0
146,0.0,1.0,30.272590361445783,51.8625,2.0,1.0,1.0,0.0,5.0,0.0
147,0.0,3.0,22.0,8.05,2.0,9.0,1.0,0.0,1.0,0.0
148,0.0,1.0,30.272590361445783,26.55,2.0,1.0,1.0,0.0,1.0,0.0
149,0.0,2.0,30.0,26.0,2.0,1.0,5.0,2.0,1.0,0.0
150,1.0,1.0,23.0,83.1583,1.0,1.0,2.0,1.0,2.0,1.0
151,0.0,3.0,30.272590361445783,7.8958,1.0,1.0,1.0,0.0,1.0,0.0
152,0.0,3.0,60.5,0.0,2.0,1.0,1.0,0.0,1.0,0.0
153,1.0,3.0,36.0,12.1833,2.0,1.0,2.0,2.0,1.0,1.0
154,0.0,3.0,13.0,31.3875,2.0,1.0,4.0,6.0,1.0,0.0
155,0.0,3.0,24.0,7.55,2.0,7.0,1.0,0.0,1.0,0.0
156,1.0,1.0,29.0,221.7792,2.0,2.0,3.0,0.0,2.0,1.0
157,1.0,3.0,23.0,7.8542,2.0,1.0,3.0,0.0,1.0,1.0
158,0.0,1.0,42.0,26.55,2.0,1.0,1.0,0.0,4.0,0.0
159,1.0,3.0,26.0,13.775,2.0,6.0,2.0,2.0,1.0,0.0
160,1.0,3.0,30.272590361445783,7.7333,3.0,1.0,3.0,0.0,1.0,1.0
161,0.0,3.0,7.0,15.2458,1.0,1.0,4.0,2.0,1.0,0.0
162,1.0,2.0,26.0,13.5,2.0,1.0,3.0,0.0,1.0,1.0
163,0.0,3.0,30.272590361445783,7.0,2.0,1.0,1.0,0.0,1.0,0.0
164,0.0,2.0,41.0,13.0,2.0,1.0,5.0,0.0,1.0,0.0
165,1.0,3.0,26.0,22.025,2.0,1.0,2.0,2.0,1.0,1.0
166,0.0,1.0,48.0,50.4958,1.0,2.0,1.0,0.0,3.0,0.0
167,0.0,3.0,18.0,34.375,2.0,10.0,1.0,4.0,1.0,1.0
168,1.0,1.0,30.272590361445783,27.7208,1.0,1.0,2.0,0.0,1.0,1.0
169,1.0,3.0,22.0,8.9625,2.0,1.0,3.0,0.0,1.0,1.0
170,0.0,3.0,30.272590361445783,7.55,2.0,7.0,1.0,0.0,1.0,0.0
171,0.0,3.0,27.0,7.225,1.0,1.0,1.0,0.0,1.0,0.0
172,0.0,3.0,23.0,13.9,2.0,1.0,1.0,1.0,1.0,0.0
173,0.0,3.0,30.272590361445783,7.2292,1.0,1.0,1.0,0.0,1.0,0.0
174,0.0,3.0,40.0,31.3875,2.0,1.0,1.0,6.0,1.0,0.0
175,1.0,2.0,15.0,39.0,2.0,1.0,3.0,2.0,1.0,1.0
176,1.0,2.0,20.0,36.75,2.0,3.0,3.0,0.0,1.0,1.0
177,0.0,1.0,54.0,55.4417,1.0,1.0,1.0,1.0,2.0,0.0
178,1.0,2.0,36.0,39.0,2.0,1.0,2.0,3.0,7.0,1.0
179,1.0,1.0,64.0,83.1583,1.0,2.0,2.0,2.0,5.0,1.0
180,0.0,2.0,30.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
181,0.0,1.0,37.0,83.1583,1.0,2.0,1.0,2.0,5.0,1.0
182,1.0,1.0,18.0,53.1,2.0,1.0,2.0,1.0,4.0,1.0
183,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
184,1.0,1.0,27.0,247.5208,1.0,2.0,2.0,2.0,3.0,1.0
185,0.0,2.0,40.0,16.0,2.0,1.0,1.0,0.0,1.0,0.0
186,1.0,2.0,21.0,21.0,2.0,7.0,3.0,1.0,1.0,1.0
187,0.0,3.0,17.0,8.05,2.0,4.0,1.0,2.0,1.0,1.0
188,1.0,3.0,30.272590361445783,69.55,2.0,8.0,3.0,10.0,1.0,1.0
189,0.0,2.0,40.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
190,0.0,2.0,34.0,26.0,2.0,1.0,1.0,1.0,1.0,0.0
191,0.0,1.0,30.272590361445783,26.0,2.0,1.0,1.0,0.0,1.0,0.0
192,0.0,3.0,11.5,14.5,2.0,4.0,4.0,2.0,1.0,1.0
193,0.0,2.0,61.0,12.35,3.0,1.0,1.0,0.0,1.0,0.0
194,0.0,2.0,8.0,32.5,2.0,1.0,4.0,2.0,1.0,0.0
195,0.0,3.0,33.0,7.8542,2.0,1.0,1.0,0.0,1.0,0.0
196,0.0,1.0,6.0,134.5,1.0,1.0,4.0,2.0,5.0,0.0
197,1.0,3.0,18.0,7.775,2.0,1.0,3.0,0.0,1.0,1.0
198,0.0,2.0,23.0,10.5,2.0,3.0,1.0,0.0,1.0,0.0
199,1.0,3.0,30.272590361445783,8.1125,2.0,1.0,2.0,0.0,1.0,1.0
200,1.0,3.0,30.272590361445783,15.5,3.0,1.0,3.0,0.0,1.0,1.0
201,0.0,3.0,0.33,14.4,2.0,1.0,4.0,2.0,1.0,0.0
202,0.0,1.0,47.0,227.525,1.0,2.0,8.0,1.0,2.0,0.0
203,1.0,2.0,8.0,26.0,2.0,1.0,3.0,2.0,1.0,1.0
204,0.0,2.0,25.0,10.5,2.0,3.0,1.0,0.0,1.0,0.0
205,0.0,1.0,30.272590361445783,25.7417,1.0,11.0,1.0,0.0,1.0,1.0
206,1.0,3.0,35.0,7.75,3.0,1.0,3.0,0.0,1.0,1.0
207,0.0,2.0,24.0,10.5,2.0,1.0,1.0,0.0,1.0,0.0
208,1.0,1.0,33.0,27.7208,1.0,2.0,3.0,0.0,6.0,1.0
209,0.0,3.0,25.0,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
210,0.0,3.0,32.0,22.525,2.0,3.0,1.0,0.0,1.0,0.0
211,0.0,3.0,30.272590361445783,7.05,2.0,6.0,1.0,0.0,1.0,0.0
212,0.0,2.0,17.0,73.5,2.0,7.0,1.0,0.0,1.0,1.0
213,1.0,2.0,60.0,26.0,2.0,1.0,2.0,1.0,1.0,1.0
214,1.0,3.0,38.0,7.775,2.0,1.0,3.0,6.0,1.0,0.0
215,0.0,1.0,42.0,42.5,2.0,1.0,1.0,0.0,3.0,0.0
216,1.0,3.0,30.272590361445783,7.8792,3.0,1.0,3.0,0.0,1.0,1.0
217,0.0,1.0,57.0,164.8667,2.0,1.0,1.0,2.0,1.0,0.0
218,1.0,1.0,50.0,211.5,1.0,1.0,2.0,2.0,2.0,1.0
219,0.0,3.0,30.272590361445783,8.05,2.0,1.0,1.0,0.0,1.0,0.0
220,1.0,2.0,30.0,13.8583,1.0,9.0,3.0,1.0,1.0,1.0
221,0.0,3.0,21.0,8.05,2.0,1.0,1.0,0.0,1.0,0.0
222,1.0,2.0,22.0,10.5,2.0,10.0,2.0,0.0,7.0,0.0
223,0.0,3.0,21.0,7.7958,2.0,1.0,1.0,0.0,1.0,0.0
224,1.0,1.0,53.0,27.4458,1.0,2.0,2.0,0.0,1.0,1.0
225,1.0,3.0,30.272590361445783,15.2458,1.0,1.0,2.0,2.0,1.0,1.0
226,0.0,3.0,23.0,7.7958,2.0,1.0,1.0,0.0,1.0,0.0
227,1.0,3.0,30.272590361445783,7.75,3.0,1.0,3.0,0.0,1.0,1.0
228,0.0,3.0,40.5,15.1,2.0,3.0,1.0,0.0,1.0,0.0
229,0.0,2.0,36.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0
230,0.0,2.0,14.0,65.0,2.0,1.0,1.0,0.0,1.0,0.0
231,1.0,1.0,21.0,26.55,2.0,1.0,3.0,0.0,1.0,1.0
232,0.0,3.0,21.0,6.4958,2.0,1.0,1.0,1.0,1.0,0.0
233,0.0,3.0,30.272590361445783,7.8792,3.0,1.0,1.0,0.0,1.0,0.0
234,0.0,1.0,39.0,71.2833,1.0,2.0,1.0,1.0,2.0,0.0
235,0.0,3.0,20.0,7.8542,2.0,1.0,1.0,0.0,1.0,0.0
236,0.0,1.0,64.0,75.25,1.0,1.0,1.0,1.0,4.0,0.0
237,0.0,3.0,20.0,7.225,1.0,1.0,1.0,0.0,1.0,0.0
238,1.0,2.0,18.0,13.0,2.0,1.0,3.0,2.0,1.0,1.0
239,1.0,1.0,48.0,106.425,1.0,2.0,2.0,1.0,2.0,1.0
240,1.0,1.0,55.0,27.7208,1.0,1.0,2.0,0.0,1.0,1.0
241,1.0,2.0,45.0,30.0,2.0,1.0,2.0,2.0,1.0,1.0
242,0.0,1.0,45.0,134.5,1.0,1.0,1.0,2.0,5.0,1.0
243,0.0,3.0,30.272590361445783,7.8875,2.0,1.0,1.0,0.0,1.0,0.0
244,0.0,3.0,30.272590361445783,23.45,2.0,10.0,4.0,3.0,1.0,0.0
245,0.0,1.0,41.0,51.8625,2.0,1.0,1.0,1.0,4.0,0.0
246,1.0,2.0,22.0,21.0,2.0,11.0,2.0,0.0,1.0,1.0
247,0.0,2.0,42.0,32.5,2.0,1.0,1.0,2.0,1.0,0.0
248,1.0,2.0,29.0,26.0,2.0,1.0,2.0,1.0,1.0,1.0
249,1.0,3.0,30.272590361445783,14.4542,1.0,1.0,2.0,1.0,1.0,1.0
250,1.0,2.0,0.92,27.75,2.0,3.0,3.0,3.0,1.0,1.0
251,0.0,3.0,20.0,7.925,2.0,6.0,1.0,0.0,1.0,0.0
252,0.0,1.0,27.0,136.7792,1.0,1.0,1.0,1.0,2.0,0.0
253,0.0,3.0,24.0,9.325,2.0,1.0,1.0,0.0,1.0,0.0
254,0.0,3.0,32.5,9.5,2.0,1.0,1.0,0.0,1.0,0.0
255,0.0,3.0,30.272590361445783,7.55,2.0,3.0,1.0,0.0,1.0,0.0
256,0.0,3.0,30.272590361445783,7.75,3.0,19.0,1.0,0.0,1.0,0.0
257,0.0,3.0,28.0,8.05,2.0,1.0,1.0,0.0,1.0,0.0
258,1.0,2.0,19.0,13.0,2.0,1.0,3.0,0.0,1.0,1.0
259,0.0,3.0,21.0,7.775,2.0,1.0,1.0,0.0,1.0,0.0
260,0.0,3.0,36.5,17.4,2.0,1.0,1.0,1.0,1.0,0.0
261,0.0,3.0,21.0,7.8542,2.0,1.0,1.0,0.0,1.0,0.0
262,1.0,2.0,29.0,23.0,2.0,1.0,2.0,2.0,1.0,1.0
263,1.0,3.0,1.0,12.1833,2.0,1.0,3.0,2.0,1.0,1.0
264,0.0,2.0,30.0,12.7375,1.0,3.0,1.0,0.0,1.0,0.0
265,0.0,3.0,30.272590361445783,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
266,0.0,1.0,30.272590361445783,0.0,2.0,1.0,1.0,0.0,1.0,0.0
267,0.0,3.0,30.272590361445783,7.55,2.0,3.0,1.0,0.0,1.0,0.0
268,1.0,3.0,30.272590361445783,8.05,2.0,4.0,3.0,0.0,1.0,0.0
269,0.0,3.0,17.0,8.6625,2.0,1.0,1.0,0.0,1.0,0.0
270,0.0,1.0,46.0,75.2417,1.0,1.0,1.0,0.0,2.0,0.0
271,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
272,1.0,1.0,26.0,136.7792,1.0,1.0,2.0,1.0,2.0,1.0
273,1.0,3.0,30.272590361445783,15.5,3.0,1.0,3.0,1.0,1.0,1.0
274,0.0,3.0,30.272590361445783,7.225,1.0,1.0,1.0,0.0,1.0,0.0
275,1.0,2.0,20.0,26.0,2.0,1.0,3.0,1.0,1.0,1.0
276,0.0,2.0,28.0,10.5,2.0,9.0,1.0,0.0,1.0,0.0
277,0.0,2.0,40.0,26.0,2.0,1.0,1.0,1.0,1.0,0.0
278,0.0,2.0,30.0,21.0,2.0,8.0,1.0,1.0,1.0,0.0
279,0.0,2.0,22.0,10.5,2.0,10.0,1.0,0.0,1.0,0.0
280,1.0,3.0,23.0,8.6625,2.0,1.0,3.0,0.0,1.0,1.0
281,0.0,3.0,0.75,13.775,2.0,6.0,4.0,2.0,1.0,1.0
282,1.0,3.0,30.272590361445783,7.75,3.0,1.0,3.0,0.0,1.0,1.0
283,1.0,3.0,9.0,15.2458,1.0,1.0,3.0,2.0,1.0,1.0
284,1.0,3.0,2.0,20.2125,2.0,1.0,3.0,2.0,1.0,1.0
285,0.0,3.0,36.0,7.25,2.0,4.0,1.0,0.0,1.0,0.0
286,0.0,3.0,30.272590361445783,7.25,2.0,6.0,1.0,0.0,1.0,0.0
287,0.0,1.0,24.0,82.2667,2.0,1.0,1.0,1.0,3.0,0.0
288,0.0,3.0,30.272590361445783,7.2292,1.0,1.0,1.0,0.0,7.0,0.0
289,0.0,3.0,30.272590361445783,8.05,2.0,4.0,1.0,0.0,1.0,0.0
290,0.0,1.0,30.272590361445783,39.6,2.0,2.0,1.0,0.0,1.0,0.0
291,1.0,3.0,30.0,6.95,3.0,1.0,3.0,0.0,1.0,1.0
292,0.0,3.0,30.272590361445783,7.2292,1.0,1.0,1.0,0.0,1.0,0.0
293,0.0,1.0,53.0,81.8583,2.0,1.0,6.0,2.0,6.0,0.0
294,0.0,3.0,36.0,9.5,2.0,1.0,1.0,0.0,1.0,0.0
295,0.0,3.0,26.0,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
296,1.0,2.0,1.0,41.5792,1.0,9.0,3.0,3.0,1.0,1.0
297,0.0,3.0,30.272590361445783,21.6792,1.0,1.0,1.0,2.0,1.0,0.0
298,0.0,1.0,30.0,45.5,2.0,1.0,1.0,0.0,1.0,0.0
299,0.0,3.0,29.0,7.8542,2.0,1.0,1.0,0.0,1.0,0.0
300,0.0,3.0,32.0,7.775,2.0,1.0,1.0,0.0,1.0,0.0
301,0.0,2.0,30.272590361445783,15.0458,1.0,1.0,1.0,0.0,4.0,0.0
302,0.0,2.0,43.0,21.0,2.0,7.0,1.0,1.0,1.0,0.0
303,0.0,3.0,24.0,8.6625,2.0,1.0,1.0,0.0,1.0,0.0
304,1.0,3.0,30.272590361445783,7.75,3.0,1.0,3.0,0.0,1.0,1.0
305,1.0,1.0,64.0,26.55,2.0,1.0,2.0,2.0,3.0,1.0
306,0.0,1.0,30.0,151.55,2.0,1.0,1.0,3.0,2.0,0.0
307,0.0,3.0,0.83,9.35,2.0,1.0,4.0,1.0,1.0,0.0
308,0.0,1.0,55.0,93.5,2.0,1.0,1.0,2.0,3.0,0.0
309,1.0,3.0,45.0,14.1083,2.0,1.0,2.0,1.0,1.0,1.0
310,0.0,3.0,18.0,8.6625,2.0,1.0,1.0,0.0,1.0,0.0
311,0.0,3.0,22.0,7.225,1.0,1.0,1.0,0.0,1.0,0.0
312,0.0,3.0,30.272590361445783,7.575,2.0,20.0,1.0,0.0,1.0,0.0
313,1.0,3.0,37.0,7.75,3.0,1.0,3.0,0.0,1.0,1.0
314,1.0,1.0,55.0,135.6333,1.0,2.0,2.0,0.0,2.0,1.0
315,1.0,3.0,17.0,7.7333,3.0,19.0,3.0,0.0,1.0,0.0
316,0.0,1.0,57.0,146.5208,1.0,2.0,1.0,1.0,3.0,1.0
317,0.0,2.0,19.0,10.5,2.0,1.0,1.0,0.0,1.0,0.0
318,0.0,3.0,27.0,7.8542,2.0,1.0,1.0,0.0,1.0,0.0
319,0.0,2.0,22.0,31.5,2.0,3.0,1.0,2.0,1.0,0.0
320,0.0,3.0,26.0,7.775,2.0,1.0,1.0,0.0,1.0,0.0
